,Year,Host_City,Host_Country,Country,Country_Code,Gold,Silver,Bronze,M_Total,Men,Women,P_Total,Population,P_TotalPer10MPop,Continent
407,1996,Atlanta,United States of America,Colombia,COL,0,0,0,0,2,0,2,37076387,0.54,South America
408,1996,Atlanta,United States of America,Côte d'Ivoire,CIV,2,0,0,2,2,0,2,,,Africa
409,1996,Atlanta,United States of America,Croatia,CRO,0,0,0,0,2,3,5,4557097,10.97,Europe
410,1996,Atlanta,United States of America,Cuba,CUB,8,3,0,11,9,1,10,10939285,9.14,North America
411,1996,Atlanta,United States of America,Cyprus,CYP,0,0,0,0,4,0,4,873426,45.8,Europe
412,1996,Atlanta,United States of America,Czech Republic,CZE,2,7,1,10,36,7,43,10315241,41.69,Europe
413,1996,Atlanta,United States of America,Denmark,DEN,7,17,17,41,25,20,45,5263074,85.5,Europe
414,1996,Atlanta,United States of America,Dominican Republic,DOM,1,0,0,1,2,0,2,7952766,2.51,North America
415,1996,Atlanta,United States of America,Ecuador,ECU,0,0,0,0,2,0,2,11703169,1.71,South America
416,1996,Atlanta,United States of America,Egypt,EGY,8,11,11,30,26,5,31,63601632,4.87,Africa
417,1996,Atlanta,United States of America,Estonia,EST,3,4,2,9,2,8,10,1415594,70.64,Europe
418,1996,Atlanta,United States of America,Faroe Islands,FRO,0,0,0,0,0,1,1,45624,219.18,Europe
419,1996,Atlanta,United States of America,Fiji,FIJ,0,0,0,0,2,0,2,784389,25.5,Oceania
420,1996,Atlanta,United States of America,Finland,FIN,4,5,4,13,53,12,65,5124573,126.84,Europe
421,1996,Atlanta,United States of America,France,FRA,35,29,31,95,122,25,147,59753095,24.6,Europe
422,1996,Atlanta,United States of America,Germany,GER,40,58,51,149,153,78,231,81914831,28.2,Europe
423,1996,Atlanta,United States of America,Great Britain,GBR,39,42,41,122,165,83,248,58166950,42.64,Europe
424,1996,Atlanta,United States of America,Greece,GRE,1,1,3,5,16,0,16,10608800,15.08,Europe
425,1996,Atlanta,United States of America,Honduras,HON,0,0,0,0,2,0,2,5874814,3.4,North America
426,1996,Atlanta,United States of America,"Hong Kong, China",HKG,5,5,5,15,19,5,24,6435500,37.29,Asia
427,1996,Atlanta,United States of America,Hungary,HUN,5,2,3,10,32,10,42,10311238,40.73,Europe
428,1996,Atlanta,United States of America,Iceland,ISL,5,4,5,14,6,4,10,268916,371.86,Europe
429,1996,Atlanta,United States of America,India,IND,0,0,0,0,9,0,9,982365248,0.09,Asia
430,1996,Atlanta,United States of America,Indonesia,INA,0,0,0,0,1,0,1,199901231,0.05,Asia
431,1996,Atlanta,United States of America,Islamic Republic of Iran,IRI,9,5,3,17,28,2,30,62294919,4.82,Asia
432,1996,Atlanta,United States of America,Ireland,IRL,1,3,6,10,46,17,63,3637510,173.2,Europe
433,1996,Atlanta,United States of America,Israel,ISR,0,4,5,9,37,3,40,5692000,70.27,Asia
434,1996,Atlanta,United States of America,Italy,ITA,11,20,14,45,59,19,78,56860281,13.72,Europe
435,1996,Atlanta,United States of America,Jamaica,JAM,0,0,1,1,2,1,3,2558631,11.73,North America
436,1996,Atlanta,United States of America,Japan,JPN,14,10,13,37,58,23,81,125757000,6.44,Asia
437,1996,Atlanta,United States of America,Jordan,JOR,0,1,0,1,5,0,5,4732848,10.56,Asia
438,1996,Atlanta,United States of America,Kazakhstan,KAZ,0,0,0,0,13,0,13,15578227,8.34,Europe
439,1996,Atlanta,United States of America,Kenya,KEN,1,1,0,2,11,6,17,28589456,5.95,Africa
440,1996,Atlanta,United States of America,Republic of Korea,KOR,13,2,15,30,55,9,64,45524681,14.06,Asia
441,1996,Atlanta,United States of America,Kuwait,KUW,1,1,1,3,17,0,17,1626858,104.5,Asia
442,1996,Atlanta,United States of America,Kyrgyzstan,KGZ,0,0,0,0,2,0,2,4628400,4.32,Asia
443,1996,Atlanta,United States of America,Latvia,LAT,0,0,0,0,4,1,5,2457222,20.35,Europe
444,1996,Atlanta,United States of America,Libya,LBA,0,0,0,0,4,0,4,5036173,7.94,Africa
445,1996,Atlanta,United States of America,Lithuania,LTU,3,2,6,11,6,3,9,3601613,24.99,Europe
446,1996,Atlanta,United States of America,Luxembourg,LUX,0,0,0,0,1,0,1,414225,24.14,Europe
447,1996,Atlanta,United States of America,"Macao, China",MAC,0,0,0,0,1,0,1,,,Asia
448,1996,Atlanta,United States of America,Malaysia,MAS,0,0,0,0,6,0,6,21017619,2.85,Asia
449,1996,Atlanta,United States of America,Mauritius,MRI,0,0,0,0,2,0,2,1133996,17.64,Africa
450,1996,Atlanta,United States of America,Mexico,MEX,3,5,4,12,28,10,38,93147045,4.08,North America
451,1996,Atlanta,United States of America,Republic of Moldova,MDA,0,0,2,2,5,0,5,2946401,16.97,Europe
452,1996,Atlanta,United States of America,Morocco,MAR,0,0,0,0,4,0,4,27383472,1.46,Africa
453,1996,Atlanta,United States of America,Netherlands,NED,17,11,17,45,73,33,106,15530498,68.25,Europe
454,1996,Atlanta,United States of America,New Zealand,NZL,9,6,3,18,28,6,34,3732000,91.1,Oceania
455,1996,Atlanta,United States of America,Nigeria,NGR,3,2,3,8,8,0,8,110668784,0.72,Africa
456,1996,Atlanta,United States of America,North Macedonia,MKD,0,0,0,0,1,0,1,1989441,5.03,Europe
457,1996,Atlanta,United States of America,Norway,NOR,9,7,4,20,35,7,42,4381336,95.86,Europe
458,1996,Atlanta,United States of America,Oman,OMA,0,0,0,0,3,0,3,2236652,13.41,Asia
459,1996,Atlanta,United States of America,Pakistan,PAK,0,0,0,0,1,0,1,127349293,0.08,Asia
460,1996,Atlanta,United States of America,Panama,PAN,2,0,0,2,1,0,1,2796291,3.58,North America
461,1996,Atlanta,United States of America,Peru,PER,1,0,0,1,3,0,3,24753825,1.21,South America
462,1996,Atlanta,United States of America,Poland,POL,13,14,8,35,49,12,61,38624370,15.79,Europe
463,1996,Atlanta,United States of America,Portugal,POR,6,4,4,14,29,6,35,10063945,34.78,Europe
464,1996,Atlanta,United States of America,Puerto Rico,PUR,0,0,0,0,3,2,5,3724655,13.42,North America
465,1996,Atlanta,United States of America,Qatar,QAT,0,0,0,0,1,0,1,522531,19.14,Asia
466,1996,Atlanta,United States of America,Romania,ROU,0,0,0,0,1,0,1,22619004,0.44,Europe
467,1996,Atlanta,United States of America,Russian Federation,RUS,9,7,11,27,60,10,70,,,Europe
468,1996,Atlanta,United States of America,Saudi Arabia,KSA,0,0,0,0,2,0,2,19033843,1.05,Asia
469,1996,Atlanta,United States of America,Serbia and Montenegro,SCG,0,0,0,0,3,1,4,,,Europe
470,1996,Atlanta,United States of America,Sierra Leone,SLE,0,0,0,0,1,0,1,4312660,2.32,Africa
471,1996,Atlanta,United States of America,Singapore,SGP,0,0,0,0,1,2,3,3670704,8.17,Asia
472,1996,Atlanta,United States of America,Slovakia,SVK,2,4,5,11,23,5,28,5373361,52.11,Europe
473,1996,Atlanta,United States of America,Slovenia,SLO,0,2,3,5,13,1,14,1988628,70.4,Europe
474,1996,Atlanta,United States of America,South Africa,RSA,10,8,10,28,29,11,40,42241007,9.47,Africa
475,1996,Atlanta,United States of America,Spain,ESP,39,31,36,106,146,50,196,39889852,49.14,Europe
476,1996,Atlanta,United States of America,Sri Lanka,SRI,0,0,0,0,1,0,1,18367290,0.54,Asia
477,1996,Atlanta,United States of America,Sweden,SWE,12,14,11,37,83,27,110,8840998,124.42,Europe
478,1996,Atlanta,United States of America,Switzerland,SUI,9,6,6,21,36,9,45,7071850,63.63,Europe
479,1996,Atlanta,United States of America,Syrian Arab Republic,SYR,0,0,0,0,2,0,2,14754148,1.36,Asia
480,1996,Atlanta,United States of America,Thailand,THA,0,0,2,2,7,0,7,60130190,1.16,Asia
481,1996,Atlanta,United States of America,Tunisia,TUN,0,2,0,2,2,1,3,9267335,3.24,Africa
482,1996,Atlanta,United States of America,Uganda,UGA,0,0,0,0,1,0,1,21032817,0.48,Africa
483,1996,Atlanta,United States of America,Ukraine,UKR,1,4,2,7,25,5,30,51057800,5.88,Europe
484,1996,Atlanta,United States of America,United Arab Emirates,UAE,0,0,0,0,5,0,5,2539121,19.69,Asia
485,1996,Atlanta,United States of America,United States of America,USA,46,46,65,157,239,89,328,269394000,12.18,North America
486,1996,Atlanta,United States of America,Uruguay,URU,0,0,1,1,1,0,1,3247383,3.08,South America
487,1996,Atlanta,United States of America,Venezuela,VEN,0,0,0,0,4,0,4,22385650,1.79,South America
488,1996,Atlanta,United States of America,Yugoslavia,YUG,2,2,0,4,5,1,6,,,Europe
489,1996,Atlanta,United States of America,Zambia,ZAM,0,0,0,0,1,0,1,9339740,1.07,Africa
490,1996,Atlanta,United States of America,Zimbabwe,ZIM,0,0,0,0,2,0,2,11541215,1.73,Africa
491,2000,Sydney,Australia,Algeria,ALG,3,0,0,3,7,1,8,31042238,2.58,Africa
492,2000,Sydney,Australia,Angola,ANG,0,0,0,0,1,0,1,16395477,0.61,Africa
493,2000,Sydney,Australia,Argentina,ARG,0,2,3,5,31,12,43,36870796,11.66,South America
494,2000,Sydney,Australia,Armenia,ARM,0,0,0,0,4,0,4,3069597,13.03,Europe
495,2000,Sydney,Australia,Australia,AUS,63,39,47,149,193,93,286,19153000,149.32,Oceania
496,2000,Sydney,Australia,Austria,AUT,2,7,6,15,47,5,52,8011566,64.91,Europe
497,2000,Sydney,Australia,Azerbaijan,AZE,0,1,0,1,6,1,7,8048600,8.7,Europe
498,2000,Sydney,Australia,Bahrain,BRN,0,1,1,2,3,0,3,664610,45.14,Asia
499,2000,Sydney,Australia,Barbados,BAR,0,0,0,0,1,0,1,271511,36.83,North America
500,2000,Sydney,Australia,Belarus,BLR,5,8,10,23,15,7,22,9979610,22.04,Europe
501,2000,Sydney,Australia,Belgium,BEL,1,4,4,9,25,5,30,10251250,29.26,Europe
502,2000,Sydney,Australia,Benin,BEN,0,0,0,0,1,0,1,6865946,1.46,Africa
503,2000,Sydney,Australia,Bermuda,BER,0,0,0,0,1,1,2,61833,323.45,North America
504,2000,Sydney,Australia,Bosnia and Herzegovina,BIH,0,1,0,1,13,0,13,3751176,34.66,Europe
505,2000,Sydney,Australia,Brazil,BRA,6,10,6,22,52,11,63,174790339,3.6,South America
506,2000,Sydney,Australia,Bulgaria,BUL,1,0,0,1,3,1,4,8170172,4.9,Europe
507,2000,Sydney,Australia,Burkina Faso,BUR,0,0,0,0,1,0,1,11607951,0.86,Africa
508,2000,Sydney,Australia,Cambodia,CAM,0,0,0,0,11,0,11,12155241,9.05,Asia
509,2000,Sydney,Australia,Canada,CAN,38,33,25,96,112,53,165,30685730,53.77,North America
510,2000,Sydney,Australia,Chile,CHI,0,0,0,0,4,0,4,15342350,2.61,South America
511,2000,Sydney,Australia,People's Republic of China,CHN,34,22,17,73,54,33,87,1262645000,0.69,Asia
512,2000,Sydney,Australia,Chinese Taipei,TPE,1,2,4,7,17,8,25,,,Asia
513,2000,Sydney,Australia,Colombia,COL,0,0,0,0,3,0,3,39629965,0.76,South America
514,2000,Sydney,Australia,Costa Rica,CRC,0,0,0,0,1,0,1,3962369,2.52,North America
515,2000,Sydney,Australia,Côte d'Ivoire,CIV,1,0,1,2,2,0,2,,,Africa
516,2000,Sydney,Australia,Croatia,CRO,0,0,0,0,10,5,15,4468302,33.57,Europe
517,2000,Sydney,Australia,Cuba,CUB,4,2,2,8,9,1,10,11126423,8.99,North America
518,2000,Sydney,Australia,Cyprus,CYP,0,0,0,0,3,1,4,943288,42.4,Europe
519,2000,Sydney,Australia,Czech Republic,CZE,15,15,13,43,41,16,57,10255063,55.58,Europe
520,2000,Sydney,Australia,Denmark,DEN,8,8,14,30,26,12,38,5339616,71.17,Europe
521,2000,Sydney,Australia,Ecuador,ECU,0,0,0,0,2,1,3,12681123,2.37,South America
522,2000,Sydney,Australia,Egypt,EGY,6,12,10,28,33,12,45,68831561,6.54,Africa
523,2000,Sydney,Australia,El Salvador,ESA,0,0,0,0,0,1,1,5887930,1.7,North America
524,2000,Sydney,Australia,Estonia,EST,1,1,3,5,4,6,10,1396985,71.58,Europe
525,2000,Sydney,Australia,Faroe Islands,FRO,0,3,1,4,0,2,2,46738,427.92,Europe
526,2000,Sydney,Australia,Fiji,FIJ,0,0,0,0,4,0,4,811011,49.32,Oceania
527,2000,Sydney,Australia,Finland,FIN,1,3,6,10,38,11,49,5176209,94.66,Europe
528,2000,Sydney,Australia,France,FRA,30,28,28,86,116,30,146,60912500,23.97,Europe
529,2000,Sydney,Australia,Germany,GER,16,41,38,95,181,69,250,82211508,30.41,Europe
530,2000,Sydney,Australia,Great Britain,GBR,41,43,47,131,140,74,214,58892514,36.34,Europe
531,2000,Sydney,Australia,Greece,GRE,4,4,3,11,41,3,44,10805808,40.72,Europe
532,2000,Sydney,Australia,Honduras,HON,0,0,0,0,1,0,1,6574510,1.52,North America
533,2000,Sydney,Australia,"Hong Kong, China",HKG,8,3,7,18,22,6,28,6665000,42.01,Asia
534,2000,Sydney,Australia,Hungary,HUN,4,5,14,23,41,13,54,10210971,52.88,Europe
535,2000,Sydney,Australia,Iceland,ISL,2,0,2,4,5,1,6,281205,213.37,Europe
536,2000,Sydney,Australia,India,IND,0,0,0,0,4,0,4,1056575548,0.04,Asia
537,2000,Sydney,Australia,Individual Paralympic Athletes,IPA,0,0,0,0,2,0,2,,,Others
538,2000,Sydney,Australia,Indonesia,INA,0,0,0,0,4,0,4,211513822,0.19,Asia
539,2000,Sydney,Australia,Islamic Republic of Iran,IRI,12,4,7,23,36,4,40,65623397,6.1,Asia
540,2000,Sydney,Australia,Iraq,IRQ,0,0,0,0,3,0,3,23497589,1.28,Asia
541,2000,Sydney,Australia,Ireland,IRL,5,3,1,9,23,15,38,3805174,99.86,Europe
542,2000,Sydney,Australia,Israel,ISR,3,2,1,6,31,2,33,6289000,52.47,Asia
543,2000,Sydney,Australia,Italy,ITA,9,8,10,27,50,16,66,56942108,11.59,Europe
544,2000,Sydney,Australia,Jamaica,JAM,0,0,0,0,3,2,5,2654698,18.83,North America
545,2000,Sydney,Australia,Japan,JPN,13,17,11,41,111,40,151,126843000,11.9,Asia
546,2000,Sydney,Australia,Jordan,JOR,1,0,0,1,5,2,7,5122495,13.67,Asia
547,2000,Sydney,Australia,Kazakhstan,KAZ,0,0,0,0,2,0,2,14883626,1.34,Europe
548,2000,Sydney,Australia,Kenya,KEN,1,1,2,4,8,5,13,31964557,4.07,Africa
549,2000,Sydney,Australia,Republic of Korea,KOR,18,7,7,32,82,7,89,47008111,18.93,Asia
550,2000,Sydney,Australia,Kuwait,KUW,0,1,4,5,22,4,26,2045123,127.13,Asia
551,2000,Sydney,Australia,Kyrgyzstan,KGZ,0,0,0,0,2,0,2,4898400,4.08,Asia
552,2000,Sydney,Australia,Lao People's Democratic Republic,LAO,0,0,0,0,1,1,2,5323701,3.76,Asia
553,2000,Sydney,Australia,Latvia,LAT,0,0,3,3,4,1,5,2367550,21.12,Europe
554,2000,Sydney,Australia,Lebanon,LBN,0,0,0,0,2,0,2,3842774,5.2,Asia
555,2000,Sydney,Australia,Lesotho,LES,0,0,0,0,1,1,2,2032805,9.84,Africa
556,2000,Sydney,Australia,Libya,LBA,0,0,1,1,16,1,17,5357893,31.73,Africa
557,2000,Sydney,Australia,Lithuania,LTU,0,2,1,3,14,3,17,3499536,48.58,Europe
558,2000,Sydney,Australia,"Macao, China",MAC,0,0,0,0,1,1,2,,,Asia
559,2000,Sydney,Australia,Madagascar,MAD,0,0,0,0,1,0,1,15766806,0.63,Africa
560,2000,Sydney,Australia,Malaysia,MAS,0,0,0,0,8,2,10,23194252,4.31,Asia
561,2000,Sydney,Australia,Mali,MLI,0,0,0,0,1,0,1,10946448,0.91,Africa
562,2000,Sydney,Australia,Mauritania,MTN,0,0,0,0,1,1,2,2630217,7.6,Africa
563,2000,Sydney,Australia,Mexico,MEX,10,12,12,34,48,29,77,98899845,7.79,North America
564,2000,Sydney,Australia,Republic of Moldova,MDA,0,0,0,0,6,0,6,2923783,20.52,Europe
565,2000,Sydney,Australia,Mongolia,MGL,0,0,0,0,2,0,2,2397417,8.34,Asia
566,2000,Sydney,Australia,Morocco,MAR,0,0,0,0,5,2,7,28793672,2.43,Africa
567,2000,Sydney,Australia,Netherlands,NED,12,9,9,30,68,33,101,15925513,63.42,Europe
568,2000,Sydney,Australia,New Zealand,NZL,6,8,4,18,36,6,42,3857700,108.87,Oceania
569,2000,Sydney,Australia,Nigeria,NGR,7,1,5,13,18,11,29,122283853,2.37,Africa
570,2000,Sydney,Australia,North Macedonia,MKD,0,0,0,0,2,0,2,2034823,9.83,Europe
571,2000,Sydney,Australia,Norway,NOR,2,6,7,15,26,13,39,4490967,86.84,Europe
572,2000,Sydney,Australia,Oman,OMA,0,0,0,0,3,0,3,2267973,13.23,Asia
573,2000,Sydney,Australia,Pakistan,PAK,0,0,0,0,1,0,1,142343583,0.07,Asia
574,2000,Sydney,Australia,Palestine,PLE,0,0,1,1,1,1,2,,,Asia
575,2000,Sydney,Australia,Panama,PAN,0,1,1,2,1,0,1,3030333,3.3,North America
576,2000,Sydney,Australia,Papua New Guinea,PNG,0,0,0,0,3,0,3,5847590,5.13,Oceania
577,2000,Sydney,Australia,Peru,PER,1,1,0,2,3,1,4,26459944,1.51,South America
578,2000,Sydney,Australia,Philippines,PHI,0,0,1,1,1,1,2,77991757,0.26,Asia
579,2000,Sydney,Australia,Poland,POL,19,22,12,53,86,27,113,38258629,29.54,Europe
580,2000,Sydney,Australia,Portugal,POR,6,5,4,15,45,7,52,10289898,50.54,Europe
581,2000,Sydney,Australia,Puerto Rico,PUR,0,0,1,1,1,2,3,3810605,7.87,North America
582,2000,Sydney,Australia,Qatar,QAT,0,0,0,0,3,0,3,592467,50.64,Asia
583,2000,Sydney,Australia,Romania,ROU,0,0,0,0,1,0,1,22442971,0.45,Europe
584,2000,Sydney,Australia,Russian Federation,RUS,12,11,12,35,69,20,89,,,Europe
585,2000,Sydney,Australia,Rwanda,RWA,0,0,0,0,1,0,1,7933688,1.26,Africa
586,2000,Sydney,Australia,Samoa,SAM,0,0,0,0,1,0,1,174454,57.32,Oceania
587,2000,Sydney,Australia,Saudi Arabia,KSA,0,0,0,0,4,0,4,20663840,1.94,Asia
588,2000,Sydney,Australia,Serbia and Montenegro,SCG,0,0,0,0,3,1,4,,,Europe
589,2000,Sydney,Australia,Singapore,SGP,0,0,0,0,1,2,3,4027887,7.45,Asia
590,2000,Sydney,Australia,Slovakia,SVK,3,5,5,13,34,11,45,5388720,83.51,Europe
591,2000,Sydney,Australia,Slovenia,SLO,0,2,2,4,15,2,17,1988925,85.47,Europe
592,2000,Sydney,Australia,South Africa,RSA,13,12,13,38,50,16,66,44967713,14.68,Africa
593,2000,Sydney,Australia,Spain,ESP,38,30,38,106,157,52,209,40567864,51.52,Europe
594,2000,Sydney,Australia,Sri Lanka,SRI,0,0,0,0,3,0,3,18777606,1.6,Asia
595,2000,Sydney,Australia,Sweden,SWE,5,6,10,21,70,17,87,8872109,98.06,Europe
596,2000,Sydney,Australia,Switzerland,SUI,8,4,8,20,44,9,53,7184250,73.77,Europe
597,2000,Sydney,Australia,Syrian Arab Republic,SYR,0,0,0,0,3,1,4,16410847,2.44,Asia
598,2000,Sydney,Australia,Thailand,THA,5,4,2,11,35,6,41,62952639,6.51,Asia
599,2000,Sydney,Australia,Tonga,TGA,0,0,0,0,0,1,1,97962,102.08,Oceania
600,2000,Sydney,Australia,Tunisia,TUN,6,4,1,11,8,2,10,9708347,10.3,Africa
601,2000,Sydney,Australia,Turkey,TUR,0,0,0,0,1,0,1,63240196,0.16,Europe
602,2000,Sydney,Australia,Turkmenistan,TKM,0,0,0,0,1,0,1,4516128,2.21,Asia
603,2000,Sydney,Australia,Uganda,UGA,0,0,0,0,0,1,1,23650159,0.42,Africa
604,2000,Sydney,Australia,Ukraine,UKR,3,20,14,37,49,18,67,49176500,13.62,Europe
605,2000,Sydney,Australia,United Arab Emirates,UAE,0,3,1,4,14,0,14,3134067,44.67,Asia
606,2000,Sydney,Australia,United States of America,USA,36,39,34,109,181,86,267,282162411,9.46,North America
607,2000,Sydney,Australia,Uruguay,URU,0,0,0,0,1,1,2,3319734,6.02,South America
608,2000,Sydney,Australia,Vanuatu,VAN,0,0,0,0,1,1,2,184964,108.13,Oceania
609,2000,Sydney,Australia,Venezuela,VEN,0,0,1,1,8,2,10,24192449,4.13,South America
610,2000,Sydney,Australia,Vietnam,VIE,0,0,0,0,1,1,2,79910411,0.25,Asia
611,2000,Sydney,Australia,Yugoslavia,YUG,0,1,0,1,2,0,2,,,Europe
612,2000,Sydney,Australia,Zambia,ZAM,0,0,0,0,1,1,2,10415942,1.92,Africa
613,2000,Sydney,Australia,Zimbabwe,ZIM,1,0,0,1,2,1,3,11881482,2.52,Africa
614,2004,Athens,Greece,Afghanistan,AFG,0,0,0,0,1,2,3,24726689,1.21,Asia
615,2004,Athens,Greece,Algeria,ALG,6,2,5,13,14,4,18,32692153,5.51,Africa
616,2004,Athens,Greece,Angola,ANG,3,0,0,3,3,1,4,18758138,2.13,Africa
617,2004,Athens,Greece,Argentina,ARG,0,2,2,4,42,11,53,38491970,13.77,South America
618,2004,Athens,Greece,Armenia,ARM,0,0,0,0,1,1,2,3000715,6.67,Europe
619,2004,Athens,Greece,Australia,AUS,26,39,36,101,89,56,145,20127400,72.04,Oceania
620,2004,Athens,Greece,Austria,AUT,8,10,4,22,40,4,44,8171966,53.84,Europe
621,2004,Athens,Greece,Azerbaijan,AZE,2,1,1,4,8,1,9,8306500,10.83,Europe
622,2004,Athens,Greece,Bahrain,BRN,0,1,0,1,5,0,5,829846,60.25,Asia
623,2004,Athens,Greece,Bangladesh,BAN,0,0,0,0,1,0,1,136986429,0.07,Asia
624,2004,Athens,Greece,Barbados,BAR,0,0,0,0,1,0,1,275283,36.33,North America
625,2004,Athens,Greece,Belarus,BLR,10,12,7,29,19,11,30,9730146,30.83,Europe
626,2004,Athens,Greece,Belgium,BEL,3,2,2,7,24,1,25,10421137,23.99,Europe
627,2004,Athens,Greece,Benin,BEN,0,0,0,0,1,1,2,7750003,2.58,Africa
628,2004,Athens,Greece,Bermuda,BER,0,0,0,0,0,2,2,63740,313.77,North America
629,2004,Athens,Greece,Bosnia and Herzegovina,BIH,1,0,0,1,15,0,15,3764194,39.85,Europe
630,2004,Athens,Greece,Botswana,BOT,1,0,0,1,0,1,1,1765533,5.66,Africa
631,2004,Athens,Greece,Brazil,BRA,14,12,7,33,72,22,94,184006479,5.11,South America
632,2004,Athens,Greece,Bulgaria,BUL,0,0,0,0,6,3,9,7716860,11.66,Europe
633,2004,Athens,Greece,Cambodia,CAM,0,0,0,0,1,1,2,13066475,1.53,Asia
634,2004,Athens,Greece,Canada,CAN,28,19,25,72,89,53,142,31940655,44.46,North America
635,2004,Athens,Greece,Cape Verde,CPV,0,0,0,0,2,1,3,456619,65.7,Africa
636,2004,Athens,Greece,Central African Republic,CAF,0,0,0,0,1,0,1,3959883,2.53,Africa
637,2004,Athens,Greece,Chile,CHI,0,0,0,0,4,0,4,16014972,2.5,South America
638,2004,Athens,Greece,People's Republic of China,CHN,63,46,32,141,108,89,197,1296075000,1.52,Asia
639,2004,Athens,Greece,Chinese Taipei,TPE,2,2,2,6,15,10,25,,,Asia
640,2004,Athens,Greece,Colombia,COL,0,0,0,0,4,1,5,42075953,1.19,South America
641,2004,Athens,Greece,Costa Rica,CRC,0,0,0,0,1,0,1,4225156,2.37,North America
642,2004,Athens,Greece,Côte d'Ivoire,CIV,0,0,0,0,2,0,2,,,Africa
643,2004,Athens,Greece,Croatia,CRO,0,0,4,4,12,5,17,4304600,39.49,Europe
644,2004,Athens,Greece,Cuba,CUB,2,2,7,11,19,5,24,11250369,21.33,North America
645,2004,Athens,Greece,Cyprus,CYP,1,0,0,1,2,3,5,1010410,49.48,Europe
646,2004,Athens,Greece,Czech Republic,CZE,16,8,7,31,45,20,65,10197101,63.74,Europe
647,2004,Athens,Greece,Denmark,DEN,5,3,7,15,22,10,32,5404523,59.21,Europe
648,2004,Athens,Greece,Dominican Republic,DOM,0,0,0,0,1,1,2,8974444,2.23,North America
649,2004,Athens,Greece,Ecuador,ECU,0,0,0,0,3,1,4,13596390,2.94,South America
650,2004,Athens,Greece,Egypt,EGY,6,9,8,23,36,10,46,74172073,6.2,Africa
651,2004,Athens,Greece,El Salvador,ESA,0,0,0,0,1,1,2,6023801,3.32,North America
652,2004,Athens,Greece,Estonia,EST,0,1,0,1,4,2,6,1362550,44.04,Europe
653,2004,Athens,Greece,Ethiopia,ETH,0,0,0,0,1,0,1,74239508,0.13,Africa
654,2004,Athens,Greece,Faroe Islands,FRO,0,0,1,1,0,1,1,47600,210.08,Europe
655,2004,Athens,Greece,Fiji,FIJ,0,0,0,0,1,1,2,817864,24.45,Oceania
656,2004,Athens,Greece,Finland,FIN,4,1,3,8,31,23,54,5228172,103.29,Europe
657,2004,Athens,Greece,France,FRA,18,26,30,74,102,30,132,62704901,21.05,Europe
658,2004,Athens,Greece,Germany,GER,19,28,31,78,138,70,208,82516260,25.21,Europe
659,2004,Athens,Greece,Ghana,GHA,0,0,0,0,2,1,3,21272328,1.41,Africa
660,2004,Athens,Greece,Great Britain,GBR,35,30,29,94,99,65,164,59987905,27.34,Europe
661,2004,Athens,Greece,Greece,GRE,3,13,4,20,104,17,121,10955141,110.45,Europe
662,2004,Athens,Greece,Guatemala,GUA,0,0,0,0,1,1,2,12682108,1.58,North America
663,2004,Athens,Greece,Guinea,GUY,0,0,0,0,1,0,1,8925729,1.12,Africa
664,2004,Athens,Greece,Honduras,HON,0,0,0,0,1,1,2,7282953,2.75,North America
665,2004,Athens,Greece,"Hong Kong, China",HKG,11,7,1,19,15,9,24,6783500,35.38,Asia
666,2004,Athens,Greece,Hungary,HUN,1,8,10,19,25,12,37,10107146,36.61,Europe
667,2004,Athens,Greece,Iceland,ISL,1,3,0,4,2,1,3,292074,102.71,Europe
668,2004,Athens,Greece,India,IND,1,0,1,2,11,1,12,1129623466,0.11,Asia
669,2004,Athens,Greece,Indonesia,INA,0,0,0,0,3,0,3,223285666,0.13,Asia
670,2004,Athens,Greece,Islamic Republic of Iran,IRI,6,3,13,22,83,6,89,68951279,12.91,Asia
671,2004,Athens,Greece,Iraq,IRQ,1,0,1,2,8,0,8,26313838,3.04,Asia
672,2004,Athens,Greece,Ireland,IRL,0,3,1,4,32,8,40,4070262,98.27,Europe
673,2004,Athens,Greece,Israel,ISR,4,4,5,13,21,3,24,6809000,35.25,Asia
674,2004,Athens,Greece,Italy,ITA,4,8,7,19,61,14,75,57685327,13,Europe
675,2004,Athens,Greece,Jamaica,JAM,1,0,1,2,2,2,4,2725017,14.68,North America
676,2004,Athens,Greece,Japan,JPN,17,15,20,52,106,54,160,127761000,12.52,Asia
677,2004,Athens,Greece,Jordan,JOR,0,1,1,2,5,5,10,5580241,17.92,Asia
678,2004,Athens,Greece,Kazakhstan,KAZ,0,0,0,0,6,2,8,15012984,5.33,Europe
679,2004,Athens,Greece,Kenya,KEN,3,1,3,7,8,8,16,35635267,4.49,Africa
680,2004,Athens,Greece,Republic of Korea,KOR,11,11,6,28,70,10,80,48082519,16.64,Asia
681,2004,Athens,Greece,Kuwait,KUW,1,2,3,6,13,1,14,2200498,63.62,Asia
682,2004,Athens,Greece,Kyrgyzstan,KGZ,0,0,0,0,3,0,3,5104700,5.88,Asia
683,2004,Athens,Greece,Latvia,LAT,1,1,1,3,3,4,7,2263122,30.93,Europe
684,2004,Athens,Greece,Lesotho,LES,0,0,0,0,1,1,2,2005953,9.97,Africa
685,2004,Athens,Greece,Libya,LBA,0,0,0,0,1,1,2,5710163,3.5,Africa
686,2004,Athens,Greece,Liechtenstein,LIE,0,0,0,0,1,0,1,34444,290.33,Europe
